config_id,status,reason,n_mix,lambda_mu,seed,device,best_epoch,best_val_total_loss,best_val_nll,best_val_mu_loss,final_train_total_loss,final_val_total_loss,final_train_nll,final_val_nll,final_train_mu_loss,final_val_mu_loss,final_mean_sigma,final_mean_alpha,num_train_traces,num_val_traces,num_test_traces,checkpoint_path,curve_path,norm_params_path
deepseek-r1-distill-70b_A100_tp4,trained,,1,0.1,42,cuda,332,-0.4791867434978485,-0.486851046482722,0.07664307268957297,-0.3864030677538652,-0.4655705491701762,-0.39704875074900114,-0.4731976389884949,0.10645688654711613,0.0762708696226279,0.22988586471630976,0.5824844860113584,13,3,2,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-70b_A100_tp4_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-70b_A100_tp4_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-70b_A100_tp4.json
deepseek-r1-distill-70b_A100_tp8,trained,,1,0.1,42,cuda,325,-0.8510888119538625,-0.8613339960575104,0.10245189691583316,-0.7857679724693298,-0.8380803167819977,-0.7973246518522501,-0.8482853025197983,0.11556680818709235,0.10205000266432762,0.20509226402888694,0.37614396835366887,12,3,2,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-70b_A100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-70b_A100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-70b_A100_tp8.json
deepseek-r1-distill-70b_H100_tp4,trained,,1,0.1,42,cuda,134,-0.9257418662309647,-0.931652158498764,0.05910295061767101,-1.1538790946915036,-0.6236317455768585,-1.1587350964546204,-0.6287139281630516,0.048560118302702904,0.05082169082015753,0.1042021672640528,0.10240364890723001,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-70b_H100_tp4_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-70b_H100_tp4_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-70b_H100_tp4.json
deepseek-r1-distill-70b_H100_tp8,trained,,1,0.1,42,cuda,497,-2.159329503774643,-2.1647104918956757,0.053810507990419865,-1.9991917581785292,-2.1500785648822784,-2.0078726410865784,-2.1554408073425293,0.08680878242566473,0.05362229002639651,0.06959757368479456,0.09587473812557402,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-70b_H100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-70b_H100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-70b_H100_tp8.json
deepseek-r1-distill-8b_A100_tp1,trained,,1,0.1,42,cuda,139,0.10058120886484782,0.0865616500377655,0.14019562800725302,0.05831590530773004,0.505317434668541,0.03929493237907688,0.4918384750684102,0.19020972152551016,0.13478941967089972,0.34605947335561116,0.5703404565652211,15,3,4,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_A100_tp1_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_A100_tp1_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_A100_tp1.json
deepseek-r1-distill-8b_A100_tp2,trained,,1,0.1,42,cuda,217,0.4525221089522044,0.4261740247408549,0.2634807725747426,-0.34249672307991064,0.9483723839124044,-0.3575564972483195,0.9238104224205017,0.15059773767223725,0.24561979870001474,0.27436010998028976,0.4822908559670815,13,3,2,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_A100_tp2_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_A100_tp2_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_A100_tp2.json
deepseek-r1-distill-8b_A100_tp4,trained,,1,0.1,42,cuda,398,-0.46386879682540894,-0.48506789406140643,0.21199075629313788,-0.6496839751131259,-0.3064028819402059,-0.6663812305778265,-0.32750415802001953,0.16697251424193382,0.21101274341344833,0.2556555294073545,0.41744692394366634,13,3,2,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_A100_tp4_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_A100_tp4_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_A100_tp4.json
deepseek-r1-distill-8b_A100_tp8,trained,,1,0.1,42,cuda,67,-0.07326878607273102,-0.08523887395858765,0.11970092542469501,0.059039142660119316,0.5365799739956856,0.04146723965690895,0.5256588533520699,0.17571907185695387,0.10921107605099678,0.347182687710632,0.3618500544266267,11,2,3,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_A100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_A100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_A100_tp8.json
deepseek-r1-distill-8b_H100_tp1,trained,,1,0.1,42,cuda,104,-0.4494165778160095,-0.4561373293399811,0.06720751896500587,-0.8073506610734122,-0.362333782017231,-0.814084210566112,-0.3697911761701107,0.06733542689610095,0.07457398809492588,0.14006029069423676,0.2446287309839612,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_H100_tp1_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_H100_tp1_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_H100_tp1.json
deepseek-r1-distill-8b_H100_tp2,trained,,1,0.1,42,cuda,107,-0.7248749807476997,-0.7302154377102852,0.053404600359499454,-0.8130236523491996,-0.6262481212615967,-0.818978875875473,-0.6318901777267456,0.05955216891708828,0.05642053298652172,0.14076825905413853,0.36177797544570195,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_H100_tp2_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_H100_tp2_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_H100_tp2.json
deepseek-r1-distill-8b_H100_tp4,trained,,1,0.1,42,cuda,167,-0.9279903993010521,-0.9325668439269066,0.04576456919312477,-1.0352667644619942,-0.8953408375382423,-1.0437107786536217,-0.9017505720257759,0.08444017507135868,0.06409737281501293,0.1234430918470025,0.2660874020308256,20,4,5,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_H100_tp4_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_H100_tp4_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_H100_tp4.json
deepseek-r1-distill-8b_H100_tp8,trained,,1,0.1,42,cuda,319,-1.2073411643505096,-1.2194754034280777,0.12134241312742233,-1.8047841035184407,-1.1692764163017273,-1.8171176811059315,-1.1814304441213608,0.12333568966104871,0.12154052965342999,0.10411240426557404,0.17255282969701857,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/deepseek-r1-distill-8b_H100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/deepseek-r1-distill-8b_H100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/deepseek-r1-distill-8b_H100_tp8.json
llama-3-405b_H100_tp8,trained,,1,0.1,42,cuda,194,-1.1530085355043411,-1.1604426056146622,0.07434050925076008,-1.3382458317847479,-0.592914529144764,-1.3469685770216442,-0.5999955013394356,0.08722736420375961,0.07080981321632862,0.09569886113916125,0.09333919024183637,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-405b_H100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-405b_H100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-405b_H100_tp8.json
llama-3-70b_A100_tp4,trained,,1,0.1,42,cuda,393,-0.3774544596672058,-0.38770002499222755,0.10245558992028236,-0.3638710709554808,-0.36213917285203934,-0.3752791846082324,-0.3724324516952038,0.11408114992082119,0.1029327274300158,0.24340367778426125,0.6370325102692559,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-70b_A100_tp4_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-70b_A100_tp4_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-70b_A100_tp4.json
llama-3-70b_A100_tp8,trained,,1,0.1,42,cuda,249,-0.4936906583607197,-0.506485634483397,0.1279496606439352,-0.5355137704234374,-0.48123220819979906,-0.5472100789805776,-0.4939525043591857,0.11696307081729174,0.12720283959060907,0.2249684474970165,0.36821615186176804,19,4,4,results/continuous_v1_lambda_mu01/checkpoints/llama-3-70b_A100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-70b_A100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-70b_A100_tp8.json
llama-3-70b_H100_tp4,trained,,1,0.1,42,cuda,136,-1.1486293822526932,-1.1524840295314789,0.03854621388018131,-1.3090277194976807,-0.8652387261390686,-1.312939190864563,-0.8689741604030132,0.03911488289013505,0.037354301661252975,0.10196519196033478,0.05721975713968277,20,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-70b_H100_tp4_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-70b_H100_tp4_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-70b_H100_tp4.json
llama-3-70b_H100_tp8,trained,,1,0.1,42,cuda,337,-1.9224590063095093,-1.9279387593269348,0.054797437973320484,-1.998850679397583,-1.8058251738548279,-2.007314556837082,-1.8111938536167145,0.0846387630328536,0.053686794359236956,0.06500229407101869,0.09259407315403223,20,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-70b_H100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-70b_H100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-70b_H100_tp8.json
llama-3-8b_H100_tp1,trained,,1,0.1,42,cuda,117,-0.5944302976131439,-0.6004742980003357,0.06043996987864375,-0.6054017245769501,-0.4142933636903763,-0.613175033103852,-0.4208376407623291,0.07773307746364957,0.06544279400259256,0.15971727456365312,0.29503922093482243,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-8b_H100_tp1_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-8b_H100_tp1_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-8b_H100_tp1.json
llama-3-8b_H100_tp2,trained,,1,0.1,42,cuda,125,-0.32606253772974014,-0.333402406424284,0.07339868415147066,-0.8879007115960121,-0.28060952038504183,-0.894075857102871,-0.28841902036219835,0.06175139378756285,0.07809503749012947,0.1293432716280222,0.2880898240953684,20,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-8b_H100_tp2_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-8b_H100_tp2_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-8b_H100_tp2.json
llama-3-8b_H100_tp4,trained,,1,0.1,42,cuda,258,-1.0571987181901932,-1.0641822963953018,0.06983582116663456,-1.0894320465269542,-1.0196807235479355,-1.1008779349781217,-1.027798354625702,0.1144589405684244,0.08117634244263172,0.12228865566707793,0.20572165080479213,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-8b_H100_tp4_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-8b_H100_tp4_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-8b_H100_tp4.json
llama-3-8b_H100_tp8,trained,,1,0.1,42,cuda,354,-1.314847156405449,-1.3271155208349228,0.1226836210116744,-1.8513952181452797,-1.164764255285263,-1.8642527063687642,-1.1770328730344772,0.12857487336510703,0.12268604710698128,0.11108436027453059,0.1956818135721343,21,4,5,results/continuous_v1_lambda_mu01/checkpoints/llama-3-8b_H100_tp8_mix1_best.pt,results/continuous_v1_lambda_mu01/training_curves/llama-3-8b_H100_tp8_mix1.csv,results/continuous_v1_lambda_mu01/norm_params/llama-3-8b_H100_tp8.json
