rps,mean_power_w,std_power_w
0.0625,1228.9644557344943,118.7399393407915
0.125,1450.872849448147,218.33128464360118
0.25,1838.4281957740216,41.148762708392816
0.5,2644.7635865643315,139.10891173278708
0.75,2672.2584799915835,197.19181929868208
1.0,2822.115724793915,76.39576740379519
1.5,2994.285525910266,31.79786819072436
2.0,3009.0662867933415,15.895299407894134
3.0,3023.5577044048846,23.931503085635242
4.0,3039.5730834594397,14.912912695434994
6.0,3008.4669264009076,25.317314261360522
8.0,3012.4637786144094,38.269744622479415
12.0,3008.428792189653,19.331408642888224
16.0,2990.5594814004207,11.181691753291519
24.0,2970.330259556373,22.5254537044068
32.0,2955.217219499623,20.15205174355836
40.0,3022.19461437477,17.44873633639822
48.0,3041.9025078798504,8.449346068401052
56.0,3042.2793041571267,17.98133511920133
64.0,3041.3780569122305,10.154609139451237
